Algorithm,Domain,Num. Of Traces,Threshold,Epsilon,Fold,Unobserved_actions,precision_effect,precision_precondition,recall_effect,recall_precondition
rosame,zeno-travel,100,0.1,0.8,3,0,0.34,0.27,0.4,0.23
sam_with,zeno-travel,100,0.1,0.8,4,5,1.0,0.0,0.0,1.0
sam_without,zeno-travel,100,0.1,0.8,4,5,1.0,0.0,0.0,1.0
rosame,zeno-travel,100,0.1,0.8,4,0,0.11,0.26,0.2,0.43
sam_with,zeno-travel,100,0.1,1.0,0,0,0.4,0.63,0.15,0.9
sam_without,zeno-travel,100,0.1,1.0,0,1,0.8,0.43,0.2,0.9
rosame,zeno-travel,100,0.1,1.0,0,0,0.25,0.13,0.3,0.12
sam_with,zeno-travel,100,0.1,1.0,1,0,0.4,0.63,0.15,0.9
sam_without,zeno-travel,100,0.1,1.0,1,3,1.0,0.23,0.15,1.0
rosame,zeno-travel,100,0.1,1.0,1,0,0.26,0.13,0.3,0.17
sam_with,zeno-travel,100,0.1,1.0,2,0,0.6,0.65,0.2,0.9
sam_without,zeno-travel,100,0.1,1.0,2,1,0.8,0.45,0.35,0.9
rosame,zeno-travel,100,0.1,1.0,2,0,0.29,0.17,0.35,0.18
sam_with,zeno-travel,100,0.1,1.0,3,0,0.6,0.65,0.2,0.9
sam_without,zeno-travel,100,0.1,1.0,3,2,1.0,0.35,0.35,1.0
rosame,zeno-travel,100,0.1,1.0,3,0,0.27,0.13,0.3,0.12
sam_with,zeno-travel,100,0.1,1.0,4,5,1.0,0.0,0.0,1.0
sam_without,zeno-travel,100,0.1,1.0,4,5,1.0,0.0,0.0,1.0
rosame,zeno-travel,100,0.1,1.0,4,0,0.11,0.17,0.2,0.35
sam_with,zeno-travel,100,0.2,0.0,0,0,1.0,1.0,0.8,0.67
sam_without,zeno-travel,100,0.2,0.0,0,0,1.0,1.0,0.8,0.67
rosame,zeno-travel,100,0.2,0.0,0,0,0.6,0.6,0.6,0.3
sam_with,zeno-travel,100,0.2,0.0,1,0,1.0,1.0,0.8,0.67
sam_without,zeno-travel,100,0.2,0.0,1,0,1.0,1.0,0.8,0.67
rosame,zeno-travel,100,0.2,0.0,1,0,0.6,0.5,0.6,0.3
sam_with,zeno-travel,100,0.2,0.0,2,0,1.0,1.0,0.8,0.67
sam_without,zeno-travel,100,0.2,0.0,2,0,1.0,1.0,0.8,0.67
rosame,zeno-travel,100,0.2,0.0,2,0,0.6,0.5,0.6,0.3
sam_with,zeno-travel,100,0.2,0.0,3,0,1.0,1.0,0.8,0.67
sam_without,zeno-travel,100,0.2,0.0,3,0,1.0,1.0,0.8,0.67
rosame,zeno-travel,100,0.2,0.0,3,0,0.53,0.5,0.6,0.3
sam_with,zeno-travel,100,0.2,0.0,4,5,1.0,0.0,0.0,1.0
sam_without,zeno-travel,100,0.2,0.0,4,5,1.0,0.0,0.0,1.0
rosame,zeno-travel,100,0.2,0.0,4,0,0.0,0.0,0.0,0.0
sam_with,zeno-travel,100,0.2,0.2,0,0,1.0,1.0,0.8,0.67
sam_without,zeno-travel,100,0.2,0.2,0,0,1.0,1.0,0.8,0.67
rosame,zeno-travel,100,0.2,0.2,0,0,0.6,0.5,0.6,0.3
sam_with,zeno-travel,100,0.2,0.2,1,0,1.0,1.0,0.8,0.67
sam_without,zeno-travel,100,0.2,0.2,1,0,1.0,1.0,0.8,0.67
rosame,zeno-travel,100,0.2,0.2,1,0,0.6,0.5,0.6,0.3
sam_with,zeno-travel,100,0.2,0.2,2,0,1.0,1.0,0.8,0.67
sam_without,zeno-travel,100,0.2,0.2,2,0,1.0,1.0,0.8,0.67
rosame,zeno-travel,100,0.2,0.2,2,0,0.6,0.5,0.6,0.3
sam_with,zeno-travel,100,0.2,0.2,3,0,1.0,1.0,0.8,0.67
sam_without,zeno-travel,100,0.2,0.2,3,0,1.0,1.0,0.8,0.67
rosame,zeno-travel,100,0.2,0.2,3,0,0.6,0.5,0.6,0.3
sam_with,zeno-travel,100,0.2,0.2,4,5,1.0,0.0,0.0,1.0
sam_without,zeno-travel,100,0.2,0.2,4,5,1.0,0.0,0.0,1.0
rosame,zeno-travel,100,0.2,0.2,4,0,0.21,0.3,0.4,0.53
sam_with,zeno-travel,100,0.2,0.4,0,0,1.0,0.9,0.55,0.72
sam_without,zeno-travel,100,0.2,0.4,0,0,1.0,0.9,0.7,0.72
rosame,zeno-travel,100,0.2,0.4,0,0,0.6,0.5,0.6,0.3
sam_with,zeno-travel,100,0.2,0.4,1,0,0.8,0.82,0.45,0.78
sam_without,zeno-travel,100,0.2,0.4,1,0,1.0,0.82,0.7,0.78
rosame,zeno-travel,100,0.2,0.4,1,0,0.6,0.5,0.6,0.3
sam_with,zeno-travel,100,0.2,0.4,2,0,0.8,0.9,0.5,0.72
sam_without,zeno-travel,100,0.2,0.4,2,0,1.0,0.9,0.75,0.72
rosame,zeno-travel,100,0.2,0.4,2,0,0.6,0.5,0.6,0.3
sam_with,zeno-travel,100,0.2,0.4,3,0,0.8,0.9,0.45,0.72
sam_without,zeno-travel,100,0.2,0.4,3,0,1.0,0.9,0.75,0.72
rosame,zeno-travel,100,0.2,0.4,3,0,0.53,0.6,0.6,0.3
sam_with,zeno-travel,100,0.2,0.4,4,5,1.0,0.0,0.0,1.0
sam_without,zeno-travel,100,0.2,0.4,4,5,1.0,0.0,0.0,1.0
rosame,zeno-travel,100,0.2,0.4,4,0,0.04,0.1,0.1,0.2
sam_with,zeno-travel,100,0.2,0.6,0,0,0.6,0.66,0.25,0.78
sam_without,zeno-travel,100,0.2,0.6,0,2,1.0,0.36,0.35,0.88
rosame,zeno-travel,100,0.2,0.6,0,0,0.6,0.5,0.6,0.3
sam_with,zeno-travel,100,0.2,0.6,1,0,0.6,0.63,0.3,0.78
sam_without,zeno-travel,100,0.2,0.6,1,2,1.0,0.33,0.35,0.88
rosame,zeno-travel,100,0.2,0.6,1,0,0.6,0.5,0.6,0.3
sam_with,zeno-travel,100,0.2,0.6,2,0,0.6,0.78,0.35,0.72
sam_without,zeno-travel,100,0.2,0.6,2,2,1.0,0.41,0.55,0.82
rosame,zeno-travel,100,0.2,0.6,2,0,0.6,0.5,0.6,0.3
sam_with,zeno-travel,100,0.2,0.6,3,0,0.6,0.71,0.3,0.78
sam_without,zeno-travel,100,0.2,0.6,3,2,1.0,0.41,0.55,0.88
rosame,zeno-travel,100,0.2,0.6,3,0,0.6,0.5,0.6,0.3
sam_with,zeno-travel,100,0.2,0.6,4,5,1.0,0.0,0.0,1.0
sam_without,zeno-travel,100,0.2,0.6,4,5,1.0,0.0,0.0,1.0
rosame,zeno-travel,100,0.2,0.6,4,0,0.1,0.1,0.2,0.2
sam_with,zeno-travel,100,0.2,0.8,0,0,0.6,0.65,0.2,0.9
sam_without,zeno-travel,100,0.2,0.8,0,2,1.0,0.35,0.3,1.0
rosame,zeno-travel,100,0.2,0.8,0,0,0.3,0.23,0.35,0.18
sam_with,zeno-travel,100,0.2,0.8,1,0,0.6,0.65,0.2,0.9
sam_without,zeno-travel,100,0.2,0.8,1,2,1.0,0.35,0.25,1.0
rosame,zeno-travel,100,0.2,0.8,1,0,0.34,0.27,0.4,0.23
sam_with,zeno-travel,100,0.2,0.8,2,0,0.6,0.69,0.3,0.9
sam_without,zeno-travel,100,0.2,0.8,2,2,1.0,0.39,0.5,1.0
rosame,zeno-travel,100,0.2,0.8,2,0,0.34,0.25,0.4,0.3
sam_with,zeno-travel,100,0.2,0.8,3,0,0.6,0.69,0.3,0.9
sam_without,zeno-travel,100,0.2,0.8,3,2,1.0,0.39,0.55,1.0
rosame,zeno-travel,100,0.2,0.8,3,0,0.4,0.2,0.4,0.23
sam_with,zeno-travel,100,0.2,0.8,4,5,1.0,0.0,0.0,1.0
sam_without,zeno-travel,100,0.2,0.8,4,5,1.0,0.0,0.0,1.0
rosame,zeno-travel,100,0.2,0.8,4,0,0.08,0.08,0.2,0.13
sam_with,zeno-travel,100,0.2,1.0,0,0,0.4,0.63,0.15,0.9
sam_without,zeno-travel,100,0.2,1.0,0,1,0.8,0.43,0.2,0.9
rosame,zeno-travel,100,0.2,1.0,0,0,0.22,0.2,0.3,0.12
sam_with,zeno-travel,100,0.2,1.0,1,0,0.4,0.63,0.15,0.9
sam_without,zeno-travel,100,0.2,1.0,1,3,1.0,0.23,0.15,1.0
rosame,zeno-travel,100,0.2,1.0,1,0,0.24,0.13,0.3,0.17
sam_with,zeno-travel,100,0.2,1.0,2,0,0.6,0.65,0.2,0.9
sam_without,zeno-travel,100,0.2,1.0,2,1,0.8,0.45,0.35,0.9
rosame,zeno-travel,100,0.2,1.0,2,0,0.29,0.17,0.35,0.18
sam_with,zeno-travel,100,0.2,1.0,3,0,0.6,0.65,0.2,0.9
sam_without,zeno-travel,100,0.2,1.0,3,2,1.0,0.35,0.35,1.0
rosame,zeno-travel,100,0.2,1.0,3,0,0.27,0.13,0.3,0.12
sam_with,zeno-travel,100,0.2,1.0,4,5,1.0,0.0,0.0,1.0
sam_without,zeno-travel,100,0.2,1.0,4,5,1.0,0.0,0.0,1.0
rosame,zeno-travel,100,0.2,1.0,4,0,0.04,0.16,0.1,0.33
sam_with,zeno-travel,100,0.3,0.0,0,0,1.0,1.0,0.8,0.67
sam_without,zeno-travel,100,0.3,0.0,0,0,1.0,1.0,0.8,0.67
rosame,zeno-travel,100,0.3,0.0,0,0,0.6,0.5,0.6,0.3
sam_with,zeno-travel,100,0.3,0.0,1,0,1.0,1.0,0.8,0.67
sam_without,zeno-travel,100,0.3,0.0,1,0,1.0,1.0,0.8,0.67
rosame,zeno-travel,100,0.3,0.0,1,0,0.6,0.5,0.6,0.3
sam_with,zeno-travel,100,0.3,0.0,2,0,1.0,1.0,0.8,0.67
sam_without,zeno-travel,100,0.3,0.0,2,0,1.0,1.0,0.8,0.67
rosame,zeno-travel,100,0.3,0.0,2,0,0.6,0.5,0.6,0.3
sam_with,zeno-travel,100,0.3,0.0,3,0,1.0,1.0,0.8,0.67
sam_without,zeno-travel,100,0.3,0.0,3,0,1.0,1.0,0.8,0.67
rosame,zeno-travel,100,0.3,0.0,3,0,0.6,0.5,0.6,0.3
sam_with,zeno-travel,100,0.3,0.0,4,5,1.0,0.0,0.0,1.0
sam_without,zeno-travel,100,0.3,0.0,4,5,1.0,0.0,0.0,1.0
rosame,zeno-travel,100,0.3,0.0,4,0,0.07,0.1,0.15,0.2
sam_with,zeno-travel,100,0.3,0.2,0,0,1.0,1.0,0.8,0.67
sam_without,zeno-travel,100,0.3,0.2,0,0,1.0,1.0,0.8,0.67
rosame,zeno-travel,100,0.3,0.2,0,0,0.6,0.5,0.6,0.3
sam_with,zeno-travel,100,0.3,0.2,1,0,1.0,1.0,0.8,0.67
sam_without,zeno-travel,100,0.3,0.2,1,0,1.0,1.0,0.8,0.67
rosame,zeno-travel,100,0.3,0.2,1,0,0.6,0.5,0.6,0.3
sam_with,zeno-travel,100,0.3,0.2,2,0,1.0,1.0,0.8,0.67
sam_without,zeno-travel,100,0.3,0.2,2,0,1.0,1.0,0.8,0.67
rosame,zeno-travel,100,0.3,0.2,2,0,0.6,0.5,0.6,0.3
sam_with,zeno-travel,100,0.3,0.2,3,0,1.0,1.0,0.8,0.67
sam_without,zeno-travel,100,0.3,0.2,3,0,1.0,1.0,0.8,0.67
rosame,zeno-travel,100,0.3,0.2,3,0,0.6,0.5,0.6,0.3
sam_with,zeno-travel,100,0.3,0.2,4,5,1.0,0.0,0.0,1.0
sam_without,zeno-travel,100,0.3,0.2,4,5,1.0,0.0,0.0,1.0
rosame,zeno-travel,100,0.3,0.2,4,0,0.14,0.2,0.25,0.33
sam_with,zeno-travel,100,0.3,0.4,0,0,1.0,1.0,0.8,0.67
sam_without,zeno-travel,100,0.3,0.4,0,0,1.0,1.0,0.8,0.67
rosame,zeno-travel,100,0.3,0.4,0,0,0.6,0.5,0.6,0.3
sam_with,zeno-travel,100,0.3,0.4,1,0,1.0,1.0,0.8,0.67
sam_without,zeno-travel,100,0.3,0.4,1,0,1.0,1.0,0.8,0.67
rosame,zeno-travel,100,0.3,0.4,1,0,0.6,0.5,0.6,0.3
sam_with,zeno-travel,100,0.3,0.4,2,0,1.0,1.0,0.8,0.67
sam_without,zeno-travel,100,0.3,0.4,2,0,1.0,1.0,0.8,0.67
rosame,zeno-travel,100,0.3,0.4,2,0,0.6,0.5,0.6,0.3
sam_with,zeno-travel,100,0.3,0.4,3,0,1.0,1.0,0.8,0.67
sam_without,zeno-travel,100,0.3,0.4,3,0,1.0,1.0,0.8,0.67
rosame,zeno-travel,100,0.3,0.4,3,0,0.6,0.5,0.6,0.3
sam_with,zeno-travel,100,0.3,0.4,4,5,1.0,0.0,0.0,1.0
sam_without,zeno-travel,100,0.3,0.4,4,5,1.0,0.0,0.0,1.0
rosame,zeno-travel,100,0.3,0.4,4,0,0.08,0.07,0.2,0.2
sam_with,zeno-travel,100,0.3,0.6,0,0,1.0,0.9,0.55,0.72
sam_without,zeno-travel,100,0.3,0.6,0,0,1.0,0.9,0.7,0.72
rosame,zeno-travel,100,0.3,0.6,0,0,0.6,0.5,0.6,0.3
sam_with,zeno-travel,100,0.3,0.6,1,0,0.8,0.82,0.45,0.78
sam_without,zeno-travel,100,0.3,0.6,1,0,1.0,0.82,0.7,0.78
rosame,zeno-travel,100,0.3,0.6,1,0,0.6,0.5,0.6,0.3
sam_with,zeno-travel,100,0.3,0.6,2,0,0.8,0.9,0.5,0.72
sam_without,zeno-travel,100,0.3,0.6,2,0,1.0,0.9,0.75,0.72
rosame,zeno-travel,100,0.3,0.6,2,0,0.6,0.5,0.6,0.3
sam_with,zeno-travel,100,0.3,0.6,3,0,0.8,0.9,0.45,0.72
sam_without,zeno-travel,100,0.3,0.6,3,0,1.0,0.9,0.75,0.72
rosame,zeno-travel,100,0.3,0.6,3,0,0.6,0.5,0.55,0.3
sam_with,zeno-travel,100,0.3,0.6,4,5,1.0,0.0,0.0,1.0
sam_without,zeno-travel,100,0.3,0.6,4,5,1.0,0.0,0.0,1.0
rosame,zeno-travel,100,0.3,0.6,4,0,0.13,0.27,0.2,0.33
sam_with,zeno-travel,100,0.3,0.8,0,0,0.6,0.66,0.25,0.78
sam_without,zeno-travel,100,0.3,0.8,0,1,0.8,0.46,0.35,0.78
rosame,zeno-travel,100,0.3,0.8,0,0,0.28,0.25,0.35,0.25
sam_with,zeno-travel,100,0.3,0.8,1,0,0.6,0.63,0.3,0.78
sam_without,zeno-travel,100,0.3,0.8,1,2,1.0,0.33,0.35,0.88
rosame,zeno-travel,100,0.3,0.8,1,0,0.34,0.25,0.4,0.3
sam_with,zeno-travel,100,0.3,0.8,2,0,0.6,0.78,0.35,0.72
sam_without,zeno-travel,100,0.3,0.8,2,1,0.8,0.51,0.55,0.72
rosame,zeno-travel,100,0.3,0.8,2,0,0.37,0.23,0.4,0.23
sam_with,zeno-travel,100,0.3,0.8,3,0,0.6,0.71,0.3,0.78
sam_without,zeno-travel,100,0.3,0.8,3,2,1.0,0.41,0.55,0.88
rosame,zeno-travel,100,0.3,0.8,3,0,0.37,0.23,0.4,0.23
sam_with,zeno-travel,100,0.3,0.8,4,5,1.0,0.0,0.0,1.0
sam_without,zeno-travel,100,0.3,0.8,4,5,1.0,0.0,0.0,1.0
rosame,zeno-travel,100,0.3,0.8,4,0,0.04,0.25,0.1,0.53
sam_with,zeno-travel,100,0.3,1.0,0,0,0.33,0.64,0.25,0.83
sam_without,zeno-travel,100,0.3,1.0,0,1,0.58,0.44,0.35,0.83
rosame,zeno-travel,100,0.3,1.0,0,0,0.24,0.17,0.3,0.12
sam_with,zeno-travel,100,0.3,1.0,1,0,0.35,0.64,0.3,0.83
sam_without,zeno-travel,100,0.3,1.0,1,1,0.58,0.44,0.35,0.83
rosame,zeno-travel,100,0.3,1.0,1,0,0.25,0.15,0.3,0.17
sam_with,zeno-travel,100,0.3,1.0,2,0,0.37,0.62,0.3,0.6
sam_without,zeno-travel,100,0.3,1.0,2,0,0.38,0.64,0.55,0.73
rosame,zeno-travel,100,0.3,1.0,2,0,0.29,0.17,0.35,0.18
sam_with,zeno-travel,100,0.3,1.0,3,0,0.33,0.64,0.25,0.83
sam_without,zeno-travel,100,0.3,1.0,3,2,0.84,0.36,0.55,1.0
rosame,zeno-travel,100,0.3,1.0,3,0,0.26,0.13,0.3,0.12
sam_with,zeno-travel,100,0.3,1.0,4,5,1.0,0.0,0.0,1.0
sam_without,zeno-travel,100,0.3,1.0,4,5,1.0,0.0,0.0,1.0
rosame,zeno-travel,100,0.3,1.0,4,0,0.04,0.28,0.1,0.18
sam_with,zeno-travel,100,0.4,0.0,0,0,1.0,1.0,0.8,0.67
sam_without,zeno-travel,100,0.4,0.0,0,0,1.0,1.0,0.8,0.67
rosame,zeno-travel,100,0.4,0.0,0,0,0.6,0.5,0.6,0.3
sam_with,zeno-travel,100,0.4,0.0,1,0,1.0,1.0,0.8,0.67
sam_without,zeno-travel,100,0.4,0.0,1,0,1.0,1.0,0.8,0.67
rosame,zeno-travel,100,0.4,0.0,1,0,0.6,0.5,0.6,0.3
sam_with,zeno-travel,100,0.4,0.0,2,0,1.0,1.0,0.8,0.67
sam_without,zeno-travel,100,0.4,0.0,2,0,1.0,1.0,0.8,0.67
rosame,zeno-travel,100,0.4,0.0,2,0,0.6,0.5,0.6,0.3
sam_with,zeno-travel,100,0.4,0.0,3,0,1.0,1.0,0.8,0.67
sam_without,zeno-travel,100,0.4,0.0,3,0,1.0,1.0,0.8,0.67
rosame,zeno-travel,100,0.4,0.0,3,0,0.6,0.5,0.6,0.3
sam_with,zeno-travel,100,0.4,0.0,4,5,1.0,0.0,0.0,1.0
sam_without,zeno-travel,100,0.4,0.0,4,5,1.0,0.0,0.0,1.0
rosame,zeno-travel,100,0.4,0.0,4,0,0.0,0.1,0.0,0.2
sam_with,zeno-travel,100,0.4,0.2,0,0,1.0,1.0,0.8,0.67
sam_without,zeno-travel,100,0.4,0.2,0,0,1.0,1.0,0.8,0.67
rosame,zeno-travel,100,0.4,0.2,0,0,0.6,0.5,0.6,0.3
sam_with,zeno-travel,100,0.4,0.2,1,0,1.0,1.0,0.8,0.67
sam_without,zeno-travel,100,0.4,0.2,1,0,1.0,1.0,0.8,0.67
rosame,zeno-travel,100,0.4,0.2,1,0,0.6,0.5,0.6,0.3
sam_with,zeno-travel,100,0.4,0.2,2,0,1.0,1.0,0.8,0.67
sam_without,zeno-travel,100,0.4,0.2,2,0,1.0,1.0,0.8,0.67
rosame,zeno-travel,100,0.4,0.2,2,0,0.6,0.5,0.6,0.3
sam_with,zeno-travel,100,0.4,0.2,3,0,1.0,1.0,0.8,0.67
sam_without,zeno-travel,100,0.4,0.2,3,0,1.0,1.0,0.8,0.67
rosame,zeno-travel,100,0.4,0.2,3,0,0.6,0.5,0.6,0.3
sam_with,zeno-travel,100,0.4,0.2,4,5,1.0,0.0,0.0,1.0
sam_without,zeno-travel,100,0.4,0.2,4,5,1.0,0.0,0.0,1.0
rosame,zeno-travel,100,0.4,0.2,4,0,0.14,0.1,0.25,0.07
sam_with,zeno-travel,100,0.4,0.4,0,0,1.0,1.0,0.8,0.67
sam_without,zeno-travel,100,0.4,0.4,0,0,1.0,1.0,0.8,0.67
rosame,zeno-travel,100,0.4,0.4,0,0,0.6,0.5,0.6,0.3
sam_with,zeno-travel,100,0.4,0.4,1,0,1.0,1.0,0.8,0.67
sam_without,zeno-travel,100,0.4,0.4,1,0,1.0,1.0,0.8,0.67
rosame,zeno-travel,100,0.4,0.4,1,0,0.6,0.5,0.6,0.3
sam_with,zeno-travel,100,0.4,0.4,2,0,1.0,1.0,0.8,0.67
sam_without,zeno-travel,100,0.4,0.4,2,0,1.0,1.0,0.8,0.67
rosame,zeno-travel,100,0.4,0.4,2,0,0.6,0.5,0.6,0.3
sam_with,zeno-travel,100,0.4,0.4,3,0,1.0,1.0,0.8,0.67
sam_without,zeno-travel,100,0.4,0.4,3,0,1.0,1.0,0.8,0.67
rosame,zeno-travel,100,0.4,0.4,3,0,0.6,0.5,0.6,0.3
sam_with,zeno-travel,100,0.4,0.4,4,5,1.0,0.0,0.0,1.0
sam_without,zeno-travel,100,0.4,0.4,4,5,1.0,0.0,0.0,1.0
rosame,zeno-travel,100,0.4,0.4,4,0,0.0,0.07,0.0,0.07
sam_with,zeno-travel,100,0.4,0.6,0,0,1.0,0.9,0.55,0.67
sam_without,zeno-travel,100,0.4,0.6,0,0,1.0,0.9,0.7,0.67
rosame,zeno-travel,100,0.4,0.6,0,0,0.6,0.5,0.6,0.3
sam_with,zeno-travel,100,0.4,0.6,1,0,1.0,0.8,0.55,0.67
sam_without,zeno-travel,100,0.4,0.6,1,0,1.0,0.8,0.7,0.67
rosame,zeno-travel,100,0.4,0.6,1,0,0.6,0.5,0.6,0.3
sam_with,zeno-travel,100,0.4,0.6,2,0,1.0,0.9,0.6,0.67
sam_without,zeno-travel,100,0.4,0.6,2,0,1.0,0.9,0.75,0.67
rosame,zeno-travel,100,0.4,0.6,2,0,0.6,0.5,0.6,0.3
sam_with,zeno-travel,100,0.4,0.6,3,0,1.0,0.9,0.55,0.67
sam_without,zeno-travel,100,0.4,0.6,3,0,1.0,0.9,0.75,0.67
rosame,zeno-travel,100,0.4,0.6,3,0,0.6,0.5,0.6,0.3
sam_with,zeno-travel,100,0.4,0.6,4,5,1.0,0.0,0.0,1.0
sam_without,zeno-travel,100,0.4,0.6,4,5,1.0,0.0,0.0,1.0
rosame,zeno-travel,100,0.4,0.6,4,0,0.24,0.28,0.15,0.2
sam_with,zeno-travel,100,0.4,0.8,0,0,1.0,0.9,0.55,0.72
sam_without,zeno-travel,100,0.4,0.8,0,0,0.9,0.8,0.7,0.72
